System,3wrobotNI
Controller,N_CTRL
dt,0.01
state_init,[-3.         -3.          1.57079633]
is_est_model,False
model_est_stage,1.0
model_est_period_multiplier,1
model_order,5
prob_noise_pow,False
Nactor,3
pred_step_size_multiplier,1.0
buffer_size,10
stage_obj_struct,quadratic
R1_diag,"[1, 10, 1, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,4
gamma,1.0
critic_period_multiplier,1.0
critic_struct,quad-nomix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],stage_obj,accum_obj,v [m/s],omega [rad/s]
16.436,0.0,0.0,0.0,1,0.01,0.0,0.0
16.489,-1.0010203665685569,-0.9989899233707706,-0.0008586561561603799,1,0.02,0.22,2.84
16.542,-1.0010203697665654,-0.9989899044343535,-0.0008583575978926396,1,0.03,0.22,2.84
16.589,-1.0010203762595336,-0.9989898659875593,-0.0008577514320439715,1,0.04,0.22,2.84
16.639,-1.0010203827525572,-0.9989898275405923,-0.0008571452633897118,1,0.05,0.22,2.84
16.689,-1.001020385950634,-0.9989898086039629,-0.000856846701678377,1,0.060000000000000005,0.22,2.84
16.739,-1.0004015151376742,-0.9989899400975235,0.014325596046137201,1,0.07,0.22,2.84
16.789,-0.9996576475536061,-0.9989765398744617,0.028144842314979997,1,0.08,0.22,2.84
16.839,-0.9979886097172418,-0.9989102789334551,0.05844974247282999,1,0.09,0.22,2.84
16.889,-0.996921327648377,-0.9988415745606691,0.07685812755363267,1,0.09999999999999999,0.22,2.84
16.939,-0.9936232671811537,-0.998510792971582,0.13034085521501304,1,0.10999999999999999,0.22,2.84
16.989,-0.9914268798511088,-0.9981939329119336,0.16493859600302496,1,0.11999999999999998,0.22,2.84
17.042,-0.9864753848895544,-0.9971903167175548,0.24288219814845133,1,0.12999999999999998,0.22,2.84
17.089,-0.9839905545219748,-0.996531668200041,0.2824266711069141,1,0.13999999999999999,0.22,2.84
17.139,-0.9782417885390644,-0.9945939719987037,0.37468173053958925,1,0.15,0.22,2.84
17.189,-0.9749279892389078,-0.9932009895916116,0.4286556594269332,1,0.16,0.22,2.6802071585468594
17.239,-0.9676007538875339,-0.9893357367830284,0.5448330685937803,1,0.17,0.22,2.167976383993925
17.289,-0.9641640630930365,-0.9871415816473597,0.599300576843668,1,0.18000000000000002,0.22,1.9267512544651098
17.339,-0.9568944239613624,-0.9816472585037321,0.6905645215513668,1,0.19000000000000003,0.22,1.5218239668630595
17.389,-0.9532947109327954,-0.9785741608133461,0.7266023373469642,1,0.20000000000000004,0.22,1.3614903374383458
17.439,-0.945775950369717,-0.9714888416018215,0.7813741067703999,1,0.21000000000000005,0.22,1.1169063749420247
17.49,-0.9421011309057217,-0.9677698159659911,0.803345406078879,1,0.22000000000000006,0.22,1.0182023865875602
17.539,-0.93459832755921,-0.9597383439088287,0.8339754051532455,1,0.23000000000000007,0.22,0.8793881461945945
17.589,-0.9307845456960545,-0.955473863475258,0.8501000950919667,1,0.24000000000000007,0.22,0.8057710353080298
