System,3wrobotNI
Controller,N_CTRL
dt,0.01
state_init,[-3.         -3.          1.57079633]
is_est_model,False
model_est_stage,1.0
model_est_period_multiplier,1
model_order,5
prob_noise_pow,False
Nactor,3
pred_step_size_multiplier,1.0
buffer_size,10
stage_obj_struct,quadratic
R1_diag,"[1, 10, 1, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,4
gamma,1.0
critic_period_multiplier,1.0
critic_struct,quad-nomix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],stage_obj,accum_obj,v [m/s],omega [rad/s]
57.413,2.011859284665277,1.9949837809360695,-1.6517635138760396,1,0.01,0.22,-2.84
57.413,2.011859284665277,1.9949837809360695,-1.6517635138760396,1,0.02,0.22,-2.84
57.463,2.0118542421725434,1.9955272615885593,-1.5552705890589353,1,0.03,0.22,-2.84
