System,CarLike
Controller,N_CTRL
dt,0.1
state_init,[-3.   -3.    1.57]
Nactor,6
pred_step_size_multiplier,5.0
buffer_size,25
run_obj_struct,quadratic
R1_diag,"[100, 100, 10, 0, 0]"
R2_diag,"[1, 10, 1, 0, 0]"
Ncritic,25
gamma,0.9
critic_period_multiplier,1.0
critic_struct,quad-mix
actor_struct,quad-nomix
t [s],x [m],y [m],alpha [rad],run_obj,accum_obj,v [m/s],omega [rad/s]
0.0001,-3.0,-3.0,1.57,1,0.1,-0.22000000000000003,-0.284
0.0011,-3.00000015344779,-3.00019994785827,1.5700583628145701,1,0.2,-0.22000000000000003,-0.284
0.0111,-3.0000010705944966,-3.0023999476292973,1.5707005210035356,1,0.30000000000000004,-0.22000000000000003,-0.284
0.0611,-2.999984465121445,-3.01339993037053,1.5739113119483632,1,0.4,-0.22000000000000003,-0.284
0.1111,-2.999932541149693,-3.024399803094808,1.5771221028931908,1,0.5,4.259881385720589,-5.904773677627364
0.16110000000000002,-3.0021290321782472,-2.9253970038446755,1.6085148684236854,1,0.6,2.2,-2.84
0.2111,-3.0081568035126,-2.8155676575004303,1.6427339064770978,1,0.7,4.120246180567564,-6.885030383134765
0.2611,-3.0179385672791197,-2.7060088310952546,1.6769529445305102,1,0.7999999999999999,2.2,-2.84
0.3111,-3.031462870711858,-2.5968487992048113,1.7111719825839227,1,0.8999999999999999,2.2,-2.84
